Galleria_mellonella	Achroia_grisella	Amyelois_transitella	Bombyx_mori	Danaus_plexippus	Helicoverpa_armigera	Ostrinia_nubilalis	Plodia_interpunctella	Plutella_xylostella	Manduca_sexta	Arctopsyche_grandis
gene-LOC113518191	gene-LOC131845902	gene-LOC106135436	gene-LOC101740199	gene-LOC116779105	gene-LOC110375174	gene-LOC135071863	gene-LOC128681062	gene-LOC119692332	gene-LOC115453554	gene-LOC143915494
gene-LOC128202229	.	.	.	.	.	.	.	.	.	.
gene-LOC128202230	.	.	.	.	.	.	.	.	.	.
gene-LOC113518509	gene-LOC131845852	gene-LOC106135505	gene-LOC101744953	gene-LOC116779110	gene-Bbg	gene-LOC135071858	gene-LOC128681060	gene-LOC105389187	gene-LOC115448894	gene-LOC143916014
gene-LOC113518249	gene-LOC131845900	gene-LOC106135465	gene-nAChRa7	gene-LOC116779111	gene-LOC110375176	gene-LOC135071820	gene-LOC128681080	gene-LOC105389150	gene-LOC115454072	gene-nAChRalpha7
gene-LOC113518248	gene-LOC131845901	gene-LOC106135466	gene-nAChRb1	gene-LOC116779113	gene-LOC110375128	gene-LOC135071767	gene-LOC128681073	gene-LOC105389148	gene-LOC115456010	gene-nAChRbeta1
gene-LOC113518402	gene-LOC131846070	gene-LOC106135427	gene-LOC101745099	gene-LOC116779223	gene-LOC110375127	gene-LOC135071760	gene-LOC128681068	gene-LOC105389151	gene-LOC115455995	gene-Polr2A
gene-LOC113518109	gene-LOC131845889	gene-LOC106135435	gene-LOC101745249	gene-LOC116779068	gene-LOC110375145	gene-LOC135071751	gene-LOC128681091	gene-LOC105389152	gene-LOC115447693	gene-ari-2
gene-LOC113518571	gene-LOC131845838	gene-LOC106135480	gene-LOC101745490	gene-LOC116778740	gene-LOC110375111	gene-LOC135071725	gene-LOC128681104	gene-LOC105389154	gene-LOC115447774	gene-Pfk
gene-LOC113518287	gene-LOC131845896	gene-LOC106135479	gene-LOC101745731	gene-LOC116779050	gene-LOC110375129	gene-LOC135071714	gene-LOC128681120	gene-LOC105389155	gene-LOC115453456	gene-TRAM
gene-LOC113518407	gene-LOC131845917	gene-LOC106135452	gene-LOC101746063	gene-LOC116779152	gene-LOC110375155	gene-LOC135071850	gene-LOC128681135	gene-LOC105389156	gene-LOC115455559	.
gene-LOC113518385	gene-LOC131846011	gene-LOC106135451	gene-LOC101746304	gene-LOC116779151	gene-LOC110375154	gene-LOC135071840	gene-LOC128681127	gene-LOC105389157	gene-LOC115455548	.
gene-LOC113518215	gene-LOC131846010	gene-LOC106135536	gene-Cb10	gene-LOC116778932	gene-LOC110375122	gene-LOC135071705	gene-LOC128681142	gene-LOC105389158	gene-LOC115455494	.
gene-LOC113518144	gene-LOC131845883	gene-LOC106135478	gene-LOC101746441	gene-LOC116778730	gene-LOC110375126	gene-LOC135071696	gene-LOC128681149	gene-LOC105389188	gene-LOC115455577	gene-Ars2
gene-LOC113518541	gene-LOC131845793	gene-LOC106135477	gene-LOC119628505	gene-LOC116779182	gene-LOC110375163	gene-LOC135071796	gene-LOC128681185	gene-LOC105389159	gene-LOC115450077	gene-LOC143920292
gene-LOC113518539	gene-LOC131845792	gene-LOC106135475	gene-LOC101746583	gene-LOC116779181	gene-LOC110375162	gene-LOC135071777	gene-LOC128681166	gene-LOC105389189	gene-LOC115449826	.
gene-LOC113518125	gene-LOC131845910	gene-LOC106135439	gene-LOC101746725	gene-LOC116779184	gene-LOC110375164	.	gene-LOC128681205	gene-LOC105389161	.	.
gene-LOC113518124	gene-LOC131845909	gene-LOC106135534	gene-LOC101746862	gene-LOC116779185	gene-LOC110375146	gene-LOC135075722	gene-LOC128681179	gene-LOC105389163	gene-LOC115450614	.
gene-LOC113518340	gene-LOC131845811	gene-LOC106135453	gene-LOC101747084	gene-LOC116778729	gene-LOC110375172	gene-LOC135079281	gene-LOC128680599	gene-LOC105389164	gene-LOC115450515	.
gene-LOC113518530	gene-LOC131845828	gene-LOC106135498	gene-LOC101740332	gene-LOC116778765	gene-Grh	gene-LOC135071681	gene-LOC128680555	gene-LOC105389190	gene-LOC115450822	gene-grh
gene-LOC128202169	.	.	.	.	.	.	.	.	.	.
gene-LOC113518121	gene-LOC131845388	gene-LOC106135523	gene-Ef-1d	gene-LOC116779128	gene-LOC110375153	gene-LOC135071668	gene-LOC128679967	gene-LOC119692437	gene-LOC115452949	gene-eEF1delta
gene-LOC113518169	gene-LOC131845391	gene-LOC106135446	gene-LOC101747220	gene-LOC116779143	gene-LOC110375168	gene-LOC135071658	gene-LOC128674616	gene-LOC119692436	gene-LOC115455277	.
gene-LOC113518094	gene-LOC131845392	gene-LOC106135530	gene-Ck2a	gene-LOC116778887	gene-Ckiialpha	gene-LOC135071634	gene-LOC128674601	gene-LOC119692435	gene-LOC115452084	gene-CkIIalpha
gene-LOC113518267	gene-LOC131845403	gene-LOC106135425	gene-LOC101740466	gene-LOC116778265	gene-L(3)76bdm	gene-LOC135078332	gene-LOC128674591	gene-LOC105389470	gene-LOC115451693	gene-l(3)76BDm
gene-LOC113518073	gene-LOC131845385	gene-LOC106135494	gene-LOC101735564	gene-LOC116778871	gene-Tgo	gene-LOC135071545	gene-LOC128676975	gene-LOC105389477	gene-LOC115448207	gene-tgo
gene-LOC116413541	gene-LOC131845400	gene-LOC106135457	gene-LOC101735431	gene-LOC116779247	gene-LOC110375170	gene-LOC135075704	gene-LOC128678781	gene-LOC105389469	gene-LOC115455882	.
gene-LOC113518572	gene-LOC131845409	gene-LOC106135423	gene-LOC101740604	gene-LOC116778727	gene-LOC110375169	gene-LOC135071617	gene-LOC128678770	gene-LOC105389468	gene-LOC115455938	gene-LOC143910600
gene-LOC113518368	gene-LOC131845406	gene-LOC106135454	gene-LOC732980	gene-LOC116778896	gene-LOC110375147	gene-LOC135075696	gene-LOC128679348	gene-LOC105389465	gene-LOC115455860	.
gene-LOC113518488	gene-LOC131845390	gene-LOC106135484	gene-LOC101740741	gene-LOC116778297	gene-LOC110383263	gene-LOC135071497	gene-LOC128679066	gene-LOC105389476	gene-LOC115455600	gene-tapas
gene-LOC113518300	gene-LOC131845405	gene-LOC106135502	gene-LOC101735807	gene-LOC133320860	gene-LOC135119311	gene-LOC135071488	gene-LOC128679168	gene-LOC105389467	.	gene-Nmt
gene-LOC128202190	.	.	.	.	.	.	.	.	.	.
gene-LOC128202192	.	.	.	.	.	.	.	.	.	.
gene-LOC113518479	gene-LOC131845404	gene-LOC106135522	gene-Pabp	gene-LOC116778253	gene-Pabp	gene-LOC135071477	gene-LOC128679152	gene-LOC105393824	.	gene-pAbp
gene-LOC113518099	gene-LOC131845389	gene-LOC106135501	gene-RpL13	gene-LOC116779081	gene-LOC110383262	gene-LOC135071465	gene-LOC128679256	gene-LOC105393825	.	gene-RpL13
gene-LOC113518237	gene-LOC131845393	gene-LOC106135499	gene-LOC101735936	gene-LOC116778799	gene-LOC110383539	gene-LOC135071525	gene-LOC128679138	gene-LOC105393832	.	.
gene-LOC128202440	.	.	.	.	.	.	.	.	.	.
gene-LOC113518452	gene-LOC131845399	gene-LOC106135459	gene-LOC101736330	gene-LOC116778812	gene-LOC110374068	gene-LOC135071455	gene-LOC128679276	gene-LOC105383830	gene-LOC115448372	.
gene-LOC113518447	gene-LOC131845401	gene-LOC106135529	gene-LOC101736061	gene-LOC116778811	gene-Ttv	gene-LOC135077383	gene-LOC128679119	gene-LOC105393835	gene-LOC119190570	gene-ttv
gene-LOC128202204	.	.	.	.	.	.	.	.	.	.
gene-LOC128202207	.	.	.	.	.	.	.	.	.	.
gene-LOC113518446	gene-LOC131845398	gene-LOC106135490	gene-LOC101736198	gene-LOC116778898	gene-LOC110374067	gene-LOC135071444	gene-LOC128679083	gene-LOC105394781	gene-LOC115448348	gene-LeuRS-m
gene-LOC113518453	gene-LOC131845397	gene-LOC106135492	gene-LOC101736581	gene-LOC116778989	gene-LOC110374093	gene-LOC135071428	gene-LOC128679262	gene-LOC105383831	gene-LOC115448350	.
gene-LOC113518451	gene-LOC131845407	gene-LOC106135491	.	.	.	gene-LOC135071403	gene-LOC128679248	.	.	.
gene-LOC113518450	gene-LOC131845395	gene-LOC106135513	gene-LOC101737367	gene-LOC116778726	gene-LOC110374074	gene-LOC135071396	gene-LOC128679194	gene-LOC105394784	gene-LOC115448354	.
gene-LOC113518449	gene-LOC131845396	gene-LOC106135512	gene-LOC101737028	gene-LOC116779031	gene-LOC110374072	gene-LOC135071385	gene-LOC128679157	gene-LOC105394785	gene-LOC115448353	.
gene-LOC113518284	gene-LOC131845410	gene-LOC106135516	gene-LOC101740880	gene-LOC116778772	gene-LOC110374089	gene-LOC135076457	gene-LOC128679093	gene-LOC105394789	gene-LOC115448363	gene-LOC143918344
gene-LOC113518149	gene-LOC131849492	gene-LOC106135433	gene-LOC101736899	gene-LOC116779135	gene-LOC110374095	gene-LOC135075672	gene-LOC128679931	gene-LOC119692432	gene-LOC115448366	gene-Spf30
gene-LOC113518104	gene-LOC131854919	gene-LOC106135531	gene-LOC101737594	gene-LOC116779007	gene-LOC110374085	gene-LOC135071346	gene-LOC128678131	gene-LOC119692396	gene-LOC115448358	gene-LOC143917791
gene-LOC113518328	gene-LOC131854827	gene-LOC106135448	gene-LOC101741021	gene-LOC116779025	gene-LOC110374090	gene-LOC135075671	gene-LOC128678294	gene-LOC105385945	gene-LOC115448373	gene-LOC143918346
gene-LOC113518377	gene-LOC131846268	gene-LOC106135456	gene-LOC101741168	gene-LOC116779039	gene-LOC110374117	gene-LOC135075667	gene-LOC128680277	gene-LOC105385935	gene-LOC115448368	gene-LOC143917931
gene-LOC113518179	gene-LOC131841239	gene-LOC106135526	gene-LOC733044	gene-LOC116778032	gene-LOC110374082	gene-LOC135071374	gene-LOC128675232	gene-LOC105385934	gene-LOC115448362	gene-LOC143917963
gene-LOC113518113	gene-LOC131847162	gene-LOC106135525	gene-Rbm17	gene-LOC116778023	gene-LOC110374105	gene-LOC135071364	gene-LOC128675227	gene-LOC105385932	gene-LOC115448367	gene-Spf45
gene-LOC113518302	gene-LOC131843262	gene-LOC106135421	gene-LOC134198921	gene-LOC116778042	gene-LOC110374108	gene-LOC135071291	gene-LOC128675239	.	gene-LOC115448355	.
gene-LOC113518301	gene-LOC131843262	gene-LOC106135504	gene-LOC101741312	gene-LOC116777986	gene-Gwl	gene-LOC135071291	gene-LOC128675203	gene-LOC105385931	gene-LOC115448355	gene-gwl
gene-LOC113518171	gene-LOC131843612	gene-LOC106135520	gene-LOC101737872	gene-LOC116778014	gene-LOC110374118	gene-LOC135071318	gene-LOC128675221	gene-LOC105385930	gene-LOC115448357	gene-l(2)k05911
gene-LOC113518150	gene-LOC131843703	gene-LOC106135521	gene-an-0147	gene-LOC116779218	gene-LOC110374114	gene-LOC135075656	gene-LOC128676464	gene-LOC105391244	gene-LOC115448356	gene-LOC143918359
gene-LOC113518291	gene-LOC131853937	gene-LOC106135539	gene-LOC101741445	gene-LOC116779107	gene-LOC110374083	gene-LOC135071263	gene-LOC128676455	gene-LOC105391245	gene-LOC115448361	.
gene-LOC113518327	gene-LOC131854650	gene-LOC106135527	gene-LOC101741587	gene-LOC116779252	gene-LOC110374084	gene-LOC135071258	gene-LOC128676451	gene-LOC105385944	gene-LOC115448359	.
gene-Trnat-agu	.	.	.	.	.	.	.	.	.	.
gene-Trnar-ccu	.	.	.	.	.	.	.	.	.	.
gene-Trnaw-cca-2	.	.	.	.	.	.	.	.	.	.
gene-LOC113518390	gene-LOC131855640	gene-LOC106135487	gene-LOC105842683	gene-LOC116779092	gene-Roc2	gene-LOC135071328	gene-LOC128675535	gene-LOC105390694	gene-LOC115448365	.
gene-LOC113518388	gene-LOC131840730	gene-LOC106135485	gene-Tret1	gene-LOC116779089	gene-LOC110374119	gene-LOC135071246	gene-LOC128675507	gene-LOC105390692	gene-LOC115446770	.
gene-LOC113518389	gene-LOC131855551	gene-LOC106135486	gene-LOC101738007	gene-LOC116779090	gene-LOC110374120	gene-LOC135075648	gene-LOC128675526	gene-LOC105391246	gene-LOC115446770	.
gene-LOC113518172	gene-LOC131840635	gene-LOC106135519	gene-LOC101738136	gene-LOC116779210	gene-LOC110374081	gene-LOC135071214	gene-LOC128678444	gene-LOC105391248	gene-LOC115446757	.
gene-Trnas-gcu-2	.	.	.	.	.	.	.	.	.	.
gene-LOC113518579	gene-LOC131854561	gene-LOC106135420	gene-LOC101738266	gene-LOC116779211	gene-LOC110374110	gene-LOC135073730	gene-LOC128679562	gene-LOC105391249	gene-LOC115446773	.
gene-LOC113518019	gene-LOC131854468	gene-LOC106135420	gene-LOC101738403	gene-LOC116779211	gene-LOC110374088	gene-LOC135071177	gene-LOC128679562	gene-LOC105391250	gene-LOC115446771	.
gene-LOC128202334	.	.	.	.	.	.	.	.	.	.
gene-LOC113518158	gene-LOC131842650	gene-LOC106135528	gene-LOC693109	gene-LOC116779006	gene-Rap2l	gene-LOC135071159	gene-LOC128679404	gene-LOC105391251	gene-LOC115446760	gene-Rap2l
gene-LOC113518157	gene-LOC131841777	gene-LOC106135509	gene-LOC101738538	gene-LOC116778922	gene-LOC110374070	gene-LOC135071147	gene-LOC128676589	gene-LOC105385933	gene-LOC115446783	gene-scramb1
gene-LOC113518232	.	gene-LOC106135508	.	.	gene-LOC110374069	gene-LOC135075620	gene-LOC128676581	gene-LOC105391252	gene-LOC115446782	.
gene-LOC113518578	gene-LOC131842066	gene-LOC106135449	gene-LOC101738989	gene-LOC116778920	gene-LOC110374109	gene-LOC135071137	gene-LOC128676610	.	gene-LOC115446784	gene-LOC143911978
gene-LOC113518577	gene-LOC131841315	gene-LOC106135510	gene-LOC101739326	gene-LOC116778919	gene-LOC110374080	gene-LOC135071113	gene-LOC128676550	.	gene-LOC115446786	gene-pnut
gene-LOC113518306	gene-LOC131841240	gene-LOC106135524	gene-LOC101741878	gene-LOC116777814	gene-LOC110374065	gene-LOC135071970	gene-LOC128676512	.	gene-LOC115446785	gene-alpha-Catr
gene-LOC113518180	gene-LOC131841033	gene-LOC106135518	gene-LOC101739468	gene-LOC116778452	gene-LOC110374064	gene-LOC135088607	gene-LOC128676478	.	gene-LOC115446756	gene-LOC143923094
gene-LOC113518020	gene-LOC131842556	gene-LOC106135455	gene-LOC101739749	gene-LOC116779267	gene-LOC110374113	gene-LOC135071086	gene-LOC128679924	.	gene-LOC115446781	.
gene-LOC113518476	.	.	.	.	.	.	.	.	.	.
gene-LOC128202495	gene-LOC131842182	gene-LOC106135461	gene-LOC134198911	gene-LOC116779078	gene-LOC110374100	gene-LOC135075584	gene-LOC128676248	.	gene-LOC115446762	.
gene-LOC113518489	gene-LOC131842757	gene-LOC106135463	gene-LOC101740649	gene-LOC116779114	.	gene-LOC135075575	gene-LOC128676257	.	gene-LOC115446763	.
gene-LOC113518472	gene-LOC131842847	gene-LOC106135464	.	gene-LOC116779084	.	gene-LOC135071094	gene-LOC128676893	.	gene-LOC115446764	.
gene-LOC113518470	gene-LOC131842279	gene-LOC106135515	gene-LOC693084	gene-LOC116778909	gene-LOC110374071	gene-LOC135088592	gene-LOC128675331	gene-LOC105387125	gene-LOC115446755	gene-LOC143922956
gene-LOC113518469	gene-LOC131841694	gene-LOC106135533	gene-LOC101740198	gene-LOC116779232	gene-LOC110374078	gene-LOC135075565	gene-LOC128679592	.	gene-LOC115446761	.
gene-LOC128202502	.	.	.	.	.	.	.	.	.	.
gene-LOC113518468	gene-LOC131841589	gene-LOC106135532	gene-LOC101740936	gene-LOC116779160	gene-LOC110374098	gene-LOC135075554	gene-LOC128675328	gene-LOC105387124	gene-LOC115446754	.
gene-LOC113518339	gene-LOC131843611	gene-LOC106135438	gene-LOC692763	gene-LOC116779138	gene-LOC110374094	gene-LOC135088588	gene-LOC128675322	gene-LOC105387126	gene-LOC115446753	.
gene-LOC113518021	gene-LOC131855103	.	gene-LOC101741078	gene-LOC116779276	.	gene-LOC135071061	.	.	gene-LOC115446766	.
gene-LOC113518403	gene-LOC131854826	gene-LOC106135418	gene-LOC101742169	gene-LOC116779167	gene-Dip-beta	gene-LOC135075522	gene-LOC128678838	gene-LOC105387145	gene-LOC115446776	.
gene-LOC113518046	gene-LOC131844471	gene-LOC106135414	gene-LOC101742463	gene-LOC116779167	gene-LOC110374106	gene-LOC135088652	gene-LOC128678953	gene-LOC105394925	gene-LOC115444952	.
gene-LOC113518022	gene-LOC131853090	gene-LOC106135416	gene-LOC101742310	gene-LOC116779197	gene-LOC110374097	gene-LOC135088583	gene-LOC128679610	gene-LOC105394265	gene-LOC115450840	.
gene-LOC128202246	gene-LOC131850413	gene-LOC132902706	.	gene-LOC116779198	.	.	gene-LOC128679603	gene-LOC125491363	.	.
gene-LOC113518023	gene-LOC131855011	gene-LOC106135415	gene-LOC101741361	.	gene-LOC110374091	gene-LOC135075507	gene-LOC128679623	gene-LOC105394256	gene-LOC115450841	.
gene-LOC113518044	gene-LOC131845386	gene-LOC106135500	gene-LOC101741498	gene-LOC116779171	gene-LOC110374086	gene-LOC135088572	gene-LOC128678456	gene-LOC105389409	gene-LOC115450842	.
gene-LOC128202257	.	.	.	.	.	.	.	.	.	.
gene-LOC113518211	gene-LOC131854738	gene-LOC106135514	gene-LOC101741639	gene-LOC116778872	gene-Ints6	gene-LOC135088645	gene-LOC128678061	gene-LOC105387545	gene-LOC115444968	gene-IntS6
gene-LOC113518266	gene-LOC131842078	gene-LOC106135441	gene-LOC101741777	gene-LOC116779076	gene-LOC110374066	gene-LOC135088566	gene-LOC128678994	gene-LOC105387544	gene-LOC115444978	gene-Snup
gene-LOC113518424	gene-LOC131841688	gene-LOC106138153	gene-LOC101742900	gene-LOC116779204	gene-LOC110380494	gene-LOC135071076	gene-LOC128678155	gene-LOC105387543	gene-LOC115444987	gene-LOC143918179
gene-LOC113518029	gene-LOC131841693	.	.	.	gene-LOC110380475	gene-LOC135075443	gene-LOC128678146	.	gene-LOC115444977	.
gene-LOC128202503	.	.	gene-LOC119628558	.	.	.	.	.	.	.
gene-LOC116413540	.	.	.	.	.	.	.	gene-LOC119692316	.	.
gene-LOC116413499	.	.	.	.	.	.	.	gene-LOC119692316	.	.
gene-LOC113518315	gene-LOC131841685	gene-LOC106138204	gene-LOC101743041	gene-LOC116779005	gene-LOC110380481	gene-LOC135088523	gene-LOC128678206	.	gene-LOC115444967	gene-Rip11
gene-LOC113518203	gene-LOC131841684	gene-LOC106138182	gene-LOC692887	gene-LOC116778764	gene-LOC110380484	gene-LOC135088553	gene-LOC128679823	.	gene-LOC115444964	gene-LOC143918105
gene-LOC113518202	gene-LOC131841683	gene-LOC106138181	gene-Hmgc	gene-LOC116778763	gene-LOC110380483	gene-LOC135088543	gene-LOC128679807	.	gene-LOC115444963	.
gene-LOC113518207	gene-LOC131841682	gene-LOC106138180	gene-LOC101744099	gene-LOC116778761	gene-LOC110380482	gene-LOC135088530	gene-LOC128679800	.	gene-LOC115444962	.
gene-LOC113518335	gene-LOC131841690	gene-LOC106138178	gene-LOC101736069	gene-LOC116778718	gene-LOC110380485	gene-LOC135088497	gene-LOC128679771	.	gene-LOC115444972	.
gene-LOC113518336	gene-LOC131841691	gene-LOC106138179	gene-LOC101744241	gene-LOC116779098	gene-LOC110380488	gene-LOC135080218	gene-LOC128679791	.	gene-LOC115444974	.
gene-LOC113518146	gene-LOC131841692	gene-LOC106138163	gene-LOC101744385	gene-LOC116779108	gene-LOC110380477	gene-LOC135088487	gene-LOC128676784	gene-LOC105387143	gene-LOC115444975	.
gene-LOC113518147	gene-LOC131843494	gene-LOC106138190	gene-LOC101744674	gene-LOC116779123	gene-LOC110380489	gene-LOC135088476	gene-LOC128676794	.	gene-LOC115444961	.
gene-LOC113518164	gene-LOC131841687	gene-LOC106138151	gene-LOC101744529	gene-LOC116779131	gene-LOC110380472	gene-LOC135088466	gene-LOC128676779	.	gene-LOC115444973	.
gene-LOC113518087	gene-LOC131843449	gene-LOC106138191	gene-LOC101736339	gene-LOC116779271	gene-Gpp	gene-LOC135071060	gene-LOC128675851	gene-LOC105387142	gene-LOC115444971	gene-gpp
gene-LOC113518281	gene-LOC131843464	gene-LOC106138160	gene-LOC101745200	gene-LOC116779139	gene-LOC110380478	gene-LOC135088442	gene-LOC128675929	gene-LOC105387123	gene-LOC115444958	gene-LOC143918176
gene-LOC113518280	gene-LOC131843405	gene-LOC106138203	gene-LOC692876	gene-LOC116778901	gene-LOC110380473	gene-LOC135088458	gene-LOC128675935	gene-LOC105387122	gene-LOC115444959	.
gene-LOC113518031	gene-LOC131843441	gene-LOC106138150	gene-LOC101736461	gene-LOC116779164	gene-LOC110380493	gene-LOC135077271	gene-LOC128679541	gene-LOC105387141	gene-LOC115444982	.
gene-LOC128202509	.	.	.	.	.	.	.	.	.	.
gene-LOC113518422	gene-LOC131843409	gene-LOC106138166	gene-LOC101745350	gene-LOC116778717	gene-LOC110380492	gene-LOC135088403	gene-LOC128679980	gene-LOC119692312	gene-LOC115444983	.
gene-LOC113518423	gene-LOC131843410	gene-LOC106138174	gene-14-3-3zeta	gene-LOC116777704	gene-LOC110380469	gene-LOC135088360	gene-LOC128680084	gene-LOC105387118	gene-LOC115444953	.
gene-LOC113518299	gene-LOC131843481	gene-LOC106138173	gene-LOC101736590	gene-LOC116779158	gene-LOC110380486	gene-LOC135075421	gene-LOC128680096	gene-LOC105387117	gene-LOC115444955	.
gene-LOC113518351	gene-LOC131843471	gene-LOC106138175	.	gene-LOC116777596	gene-Lpin	gene-LOC135088326	gene-LOC128680062	gene-LOC105387116	gene-LOC115444956	.
gene-LOC113518358	gene-LOC131843480	gene-LOC106138161	gene-RGPC	gene-LOC116777759	gene-LOC110380471	gene-LOC135075408	gene-LOC128675407	gene-LOC105387139	gene-LOC115444984	.
gene-LOC116413513	gene-LOC131843486	gene-LOC106138212	gene-LOC110384712	gene-LOC116777769	gene-LOC110380491	gene-LOC135077245	gene-LOC128675382	gene-LOC105385573	gene-LOC115444989	.
gene-LOC113518139	gene-LOC131843474	gene-LOC106138211	gene-LOC101745780	gene-LOC133320831	gene-LOC110380470	gene-LOC135088302	gene-LOC128675401	gene-LOC105385551	gene-LOC115444981	.
gene-LOC113518270	gene-LOC131843478	gene-LOC106138207	gene-LOC101745925	gene-LOC116779103	gene-LOC110383828	gene-LOC135088290	gene-LOC128678635	gene-LOC105385550	gene-LOC115444980	.
gene-LOC113518357	gene-LOC131843484	gene-LOC106138208	gene-LOC101746072	gene-LOC116779102	gene-LOC110383831	gene-LOC135075393	gene-LOC128678708	gene-LOC105385549	gene-LOC115444985	.
gene-LOC113518131	gene-LOC131843483	gene-LOC106138208	gene-LOC101746072	gene-LOC116779102	gene-LOC110383831	gene-LOC135075393	gene-LOC128678708	gene-LOC105385549	gene-LOC115444985	.
gene-LOC113518228	gene-LOC131843479	gene-LOC106138188	gene-LOC101746312	gene-LOC116779133	gene-Nkain	gene-LOC135088271	gene-LOC128678653	gene-LOC105385548	gene-LOC115444986	.
gene-LOC113518518	gene-LOC131843469	gene-LOC106138186	gene-LOC101746449	gene-LOC116778547	gene-LOC110383774	gene-LOC135088253	gene-LOC128678493	gene-LOC105385547	gene-LOC115444966	.
gene-LOC113518519	gene-LOC131843485	gene-LOC106138189	gene-LOC101736732	gene-LOC116778886	gene-LOC110383778	gene-LOC135088231	gene-LOC128678719	gene-LOC105387114	gene-LOC115444990	.
gene-LOC113518055	gene-LOC131843487	gene-LOC106138187	gene-LOC101746680	gene-LOC116778781	gene-LOC110383775	gene-LOC135088241	gene-LOC128678571	gene-LOC105385545	gene-LOC115444965	.
gene-LOC113518364	gene-LOC131843475	gene-LOC106138192	gene-LOC101746960	gene-LOC116777538	gene-LOC110383855	gene-LOC135088207	gene-LOC128678621	gene-LOC105385542	gene-LOC115444991	gene-LOC143918061
gene-LOC113518365	gene-LOC131843476	gene-LOC106138193	gene-LOC101746819	gene-LOC116777545	gene-LOC110383856	gene-LOC135088220	gene-LOC128678630	gene-LOC105385543	gene-LOC115444992	gene-LOC143918062
gene-LOC113518096	gene-LOC131843477	gene-LOC106138205	gene-LOC101747092	gene-LOC116779119	gene-LOC110383773	gene-LOC135088190	gene-LOC128678642	gene-LOC105387112	gene-LOC115444960	gene-LOC143918063
gene-LOC113518177	gene-LOC131843472	gene-LOC106138176	gene-Lpr	gene-LOC116778831	gene-LOC110383871	gene-LOC135088130	gene-LOC128678501	gene-LOC105387428	gene-LOC115446789	gene-LOC143918173
gene-LOC113518333	gene-LOC131843488	gene-LOC106138165	gene-LOC101735398	gene-LOC116779051	gene-LOC110383872	gene-LOC135088170	gene-LOC128678645	.	gene-LOC115446792	.
gene-LOC113518032	gene-LOC131843499	.	gene-Or-15	gene-LOC116778714	gene-LOC110383838	gene-LOC135075377	gene-LOC128678686	gene-LOC105387441	gene-LOC115446796	.
gene-LOC113518317	gene-LOC131843500	gene-LOC106138147	gene-Or-13	gene-LOC133320876	gene-LOC110383866	.	gene-LOC128678686	gene-LOC105387440	gene-LOC115446791	.
gene-LOC113518033	gene-LOC131843499	.	gene-Or-15	gene-LOC116778714	gene-LOC110383838	gene-LOC135075377	.	gene-LOC105387441	gene-LOC115446795	.
gene-LOC113518251	gene-LOC131843468	gene-LOC106138167	gene-CPR1	gene-LOC116778713	gene-LOC110383810	gene-LOC135087925	gene-LOC128679945	gene-LOC105386337	gene-LOC115446793	.
gene-LOC128202504	.	.	.	.	.	.	.	gene-LOC125491402	.	.
gene-LOC128202508	gene-LOC131843413	gene-LOC106138164	gene-LOC101735623	gene-LOC116779000	gene-LOC110383803	gene-LOC135087917	gene-LOC128678173	gene-LOC105386340	gene-LOC115441696	.
gene-LOC128202526	gene-LOC131849857	gene-LOC106135937	gene-LOC101741568	gene-LOC116775121	gene-LOC110379546	gene-LOC135082786	gene-LOC128679611	gene-LOC105388866	gene-LOC115442987	.
gene-LOC113511152	gene-LOC131849867	gene-LOC106135881	gene-LOC101741345	gene-LOC116775251	gene-LOC110379549	gene-LOC135083118	gene-LOC128679605	gene-LOC105383559	gene-LOC115442983	.
gene-LOC113511224	gene-LOC131849682	gene-LOC106135802	gene-LOC101745034	gene-LOC116775250	gene-LOC110379557	gene-LOC135083063	gene-LOC128679601	gene-LOC105383557	gene-LOC115442985	.
gene-LOC113511121	gene-LOC131849861	gene-LOC106135983	gene-Drp	gene-LOC116775302	gene-LOC110381820	gene-LOC135082832	gene-LOC128679606	gene-LOC105391750	gene-LOC115442981	.
gene-LOC113511225	gene-LOC131849866	gene-LOC106135803	gene-LOC101744892	gene-LOC116775286	gene-LOC110381814	gene-LOC135083061	gene-LOC128679602	gene-LOC105391764	gene-LOC115443013	.
gene-LOC113511175	gene-LOC131849860	gene-LOC106135896	gene-LOC692973	gene-LOC133319569	gene-LOC126055627	gene-LOC135082782	gene-LOC128679784	gene-LOC105388873	gene-LOC115443032	.
gene-LOC113511048	gene-LOC131849859	gene-LOC106135896	gene-LOC692973	gene-LOC133319569	gene-LOC110381823	gene-LOC135082782	gene-LOC128679784	gene-LOC105388873	gene-LOC115443032	.
gene-LOC113511007	gene-LOC131849863	gene-LOC106135941	gene-LOC101744606	gene-LOC116775106	gene-Scra	gene-LOC135082783	gene-LOC128679768	gene-LOC105391749	gene-LOC115442986	.
gene-LOC113511226	gene-LOC131849862	gene-LOC106135804	gene-AKH3	gene-LOC116775217	gene-LOC110381816	gene-LOC135082604	gene-LOC128679788	gene-LOC105395855	gene-LOC115443027	.
gene-LOC128202538	.	.	.	.	.	.	.	.	.	.
gene-LOC113511193	gene-LOC131849865	gene-LOC106135907	gene-LOC733130	gene-LOC116775111	gene-LOC110381817	gene-LOC135082637	gene-LOC128679774	gene-LOC105395850	gene-LOC115443026	gene-LOC143909944
